municipio,ccaa,provincia,ph_medio,dureza_media,parametros_ok,parametros_fuera_rango,n_muestras,n_potable,no_potabilidad
FUENTELIANTE,Castilla y León,Salamanca,8.0,,12,0,3,3,0.0
FUENTELCÉSPED,Castilla y León,Burgos,7.9,,56,0,6,6,0.0
FUENTEHERIDOS,Andalucía,Huelva,7.479999999999999,,83,0,5,5,0.0
FUENTECÉN,Castilla y León,Burgos,7.8,,7,0,3,3,0.0
MORA DE RUBIELOS,Aragón,Teruel,7.575,280.0,86,0,6,6,0.0
FUENTES,Castilla - La Mancha,Cuenca,7.9,,22,0,2,2,0.0
MONTESA,Comunitat Valenciana,Valencia/València,,360.0,4,0,1,1,0.0
MONTERRUBIO DE LA SIERRA,Castilla y León,Salamanca,,,2,0,2,2,0.0
NAVAQUESERA,Castilla y León,Avila,,,1,0,1,1,0.0
NAVAMORALES,Castilla y León,Salamanca,7.7,,12,0,3,3,0.0
ANENTO,Aragón,Zaragoza,7.75,260.5,65,0,4,4,0.0
NARROS DE MATALAYEGUA,Castilla y León,Salamanca,7.5,,13,0,4,4,0.0
FRESNILLO DE LAS DUEÑAS,Castilla y León,Burgos,7.866666666666667,,73,0,9,9,0.0
FORNELLS DE LA SELVA,Cataluña,Girona,7.449999999999999,271.5,62,0,5,5,0.0
FOZ-CALANDA,Aragón,Teruel,8.1,,55,0,2,2,0.0
FORFOLEDA,Castilla y León,Salamanca,8.0,,12,0,3,3,0.0
FORCALL,Comunitat Valenciana,Castellón/Castelló,8.1,,20,0,2,2,0.0
NAVA DE ROA,Castilla y León,Burgos,7.8,,11,0,4,4,0.0
FORALLAC,Cataluña,Girona,7.618421052631579,,417,0,251,251,0.0
NAVA DE SOTROBAL,Castilla y León,Salamanca,7.7,,54,0,5,5,0.0
NAVA DEL BARCO,Castilla y León,Avila,8.3,,12,0,3,3,0.0
NAVA DEL REY,Castilla y León,Valladolid,7.85,,26,0,6,6,0.0
NAVACARROS,Castilla y León,Salamanca,7.449999999999999,,22,0,5,5,0.0
FONZALECHE,"Rioja, La",Rioja (La),8.1,,12,0,1,1,0.0
FORTIÀ,Cataluña,Girona,8.21,221.0,28,0,2,2,0.0
FRADES DE LA SIERRA,Castilla y León,Salamanca,7.0,,12,0,3,3,0.0
BOHOYO,Castilla y León,Avila,7.0,,54,0,5,5,0.0
FRESNEDA (LA),Aragón,Teruel,8.0,266.0,67,0,5,5,0.0
FRESNO ALHÁNDIGA,Castilla y León,Salamanca,7.0,,12,0,3,3,0.0
