municipio,CODAUTO,CPRO,CMUN,provincia,longitud,latitud,generacion_litros,generacion_norm,no_potabilidad
ULLDEMOLINS,9,43,157,Tarragona,0.856425,41.325001,13.112731000000004,0.6214717032536644,4.188009715031974
"ARBOÇ, L'",9,43,16,Tarragona,1.605981,41.277271,13.112731000000004,0.6214717032536644,4.186345011828134
"SELVA DEL CAMP, LA",9,43,145,Tarragona,1.116722,41.220916,13.112731000000004,0.6214717032536644,4.185819439752256
"ROURELL, EL",9,43,134,Tarragona,1.220525,41.222415,13.112731000000004,0.6214717032536644,4.185819439752256
NERPIO,8,2,55,Albacete,-2.35993,38.143505,7.2,0.1543780493518983,4.184932354921785
"OMAÑAS, LAS",7,24,104,León,-5.869591,42.689153,8.6,0.2649751855081808,4.182115326588777
"ALBIOL, L'",9,43,3,Tarragona,1.104555,41.245836,13.112731000000004,0.6214717032536644,4.176300766836234
CORNUDELLA DE MONTSANT,9,43,49,Tarragona,0.918238,41.269004,13.112731000000004,0.6214717032536644,4.169811340215965
"POBLA DE CÉRVOLES, LA",9,25,169,Lleida,0.882477,41.38131,10.47953,0.4134542107366219,4.165257900780649
LANZUELA,2,44,133,Teruel,-1.186765,41.107472,5.245796875,0.0,4.154672639059703
MASLLORENÇ,9,43,79,Tarragona,1.430081,41.263402,13.112731000000004,0.6214717032536644,4.151276460918133
"COLILLA, LA",7,5,61,Ávila,-4.757598,40.644075,6.4,0.0911796858340227,4.1495705279993
"TORRE, LA",7,5,247,Ávila,-4.965637,40.607804,6.4,0.0911796858340227,4.1448083675332645
"MILÀ, EL",9,43,83,Tarragona,1.206274,41.251654,13.112731000000004,0.6214717032536644,4.143382710723667
ARROYO DEL OJANCO,1,23,905,Jaén,-2.897963,38.321548,8.4,0.2491755946287118,4.133983988202619
"FEBRÓ, LA",9,43,57,Tarragona,0.998649,41.275133,13.112731000000004,0.6214717032536644,4.133684940695577
BURGUI/BURGI,15,31,59,Navarra,-0.995028,42.737247,10.807375000000002,0.4393532950960195,4.130118370156626
"PLA DE SANTA MARIA, EL",9,43,108,Tarragona,1.31157,41.346847,13.112731000000004,0.6214717032536644,4.126667485594766
"FRESNO, EL",7,5,76,Ávila,-4.751839,40.619828,6.4,0.0911796858340227,4.122413678269794
"SERRADA, LA",7,5,232,Ávila,-4.78626,40.630149,6.4,0.0911796858340227,4.120847979899298
"RIBA, LA",9,43,124,Tarragona,1.171809,41.306797,13.112731000000004,0.6214717032536644,4.118773735400299
VALLCLARA,9,43,158,Tarragona,0.992615,41.371416,13.112731000000004,0.6214717032536644,4.117658738530586
"PUERTA DE SEGURA, LA",1,23,72,Jaén,-2.788431,38.376529,8.4,0.2491755946287118,4.1040771962421125
EMBID,8,19,109,Guadalajara,-1.713669,40.97437,6.8,0.1227788675929605,4.089133973266402
"ROBLA, LA",7,24,134,León,-5.624203,42.806456,8.6,0.2649751855081808,4.0859160317699645
PRADOS REDONDOS,8,19,227,Guadalajara,-1.802772,40.783672,6.8,0.1227788675929605,4.064801794053966
"BARRIOS DE LUNA, LOS",7,24,12,León,-5.856011,42.848731,8.6,0.2649751855081808,4.033251843601774
"PERAL, EL",8,16,155,Cuenca,-1.884592,39.491608,6.2,0.0753800949545537,4.030493608281322
"VALDECOLMENAS, LOS",8,16,906,Cuenca,-2.470097,40.108396,6.2,0.0753800949545537,4.013446297237863
"HUERTOS, LOS",7,40,103,Segovia,-4.220838,41.007694,7.610332400000002,0.1867934695748514,4.005658316954467
SEMILLAS,8,19,901,Guadalajara,-3.124851,41.044848,6.8,0.1227788675929605,3.9944817103676415
"POLA DE GORDÓN, LA",7,24,114,León,-5.72545,42.87927,8.6,0.2649751855081808,3.983806795836527
"PARRA DE LAS VEGAS, LA",8,16,152,Cuenca,-2.21898,39.867674,6.2,0.0753800949545537,3.9686361232487055
"BURGO DE EBRO, EL",2,50,62,Zaragoza,-0.72307,41.56563,8.0,0.217576412869774,3.9664815699497047
POZUEL DE ARIZA,2,50,215,Zaragoza,-2.128256,41.352403,8.0,0.217576412869774,3.9329234341771424
"PUEBLA DE ALFINDÉN, LA",2,50,219,Zaragoza,-0.74719,41.646753,8.0,0.217576412869774,3.9107541890734985
"LLAGOSTA, LA",9,8,105,Barcelona,2.191024,41.512793,12.4,0.5651674122180903,3.885012234890352
SANTA MARIA DE MIRALLES,9,8,257,Barcelona,1.516275,41.505477,12.4,0.5651674122180903,3.8636088128602144
ANQUELA DEL PEDREGAL,8,19,34,Guadalajara,-1.74024,40.734423,6.8,0.1227788675929605,3.858200411496608
ALBOREA,8,2,5,Albacete,-1.385923,39.291897,7.2,0.1543780493518983,3.855770435115753
MONASTERIO,8,19,191,Guadalajara,-3.113678,40.997637,6.8,0.1227788675929605,3.7892196827478126
ARGENÇOLA,9,8,8,Barcelona,1.454883,41.595267,12.4,0.5651674122180903,3.761620349503324
BETELU,15,31,55,Navarra,-1.975668,43.015858,10.807375000000002,0.4393532950960195,3.758716559020248
LEKUNBERRI,15,31,908,Navarra,-1.904592,43.01097,10.807375000000002,0.4393532950960195,3.7445336042142574
ARROYO DE LAS FRAGUAS,8,19,42,Guadalajara,-3.133778,41.075513,6.8,0.1227788675929605,3.742652233604344
JUNTA DE TRASLALOMA,7,9,189,Burgos,-3.406617,43.038789,8.1,0.2254762083095084,3.728469861638149
"INVIERNAS, LAS",8,19,154,Guadalajara,-2.670185,40.86685,6.8,0.1227788675929605,3.723263846062464
"SEU D'URGELL, LA",9,25,203,Lleida,1.466538,42.357249,10.47953,0.4134542107366219,3.713310645656912
ESTERRI DE CARDÓS,9,25,87,Lleida,1.26896,42.587848,10.47953,0.4134542107366219,3.71082513084384
"GASTOR, EL",1,11,18,Cádiz,-5.345141,36.846363,14.3,0.7152635255730452,3.709303249214961
"PONT DE SUERT, EL",9,25,173,Lleida,0.800727,42.393987,10.47953,0.4134542107366219,3.685280204423567
"BÒRDES, ES",9,25,57,Lleida,0.703999,42.718927,10.47953,0.4134542107366219,3.68107279911837
PUIGVERD DE LLEIDA,9,25,182,Lleida,0.737513,41.542767,10.47953,0.4134542107366219,3.674533239462887
"BERLANAS, LAS",7,5,27,Ávila,-4.766347,40.801274,6.4,0.0911796858340227,3.644190880253142
CASTELLAR DE LA MUELA,8,19,76,Guadalajara,-1.74885,40.826562,6.8,0.1227788675929605,3.642200451904698
"TORRE DE CABDELLA, LA",9,25,227,Lleida,0.973004,42.444307,10.47953,0.4134542107366219,3.6290875457280474
ARBANCÓN,8,19,37,Guadalajara,-3.15162,40.982864,6.8,0.1227788675929605,3.626517847996524
"PERALEJA, LA",8,16,156,Cuenca,-2.550439,40.240892,6.2,0.0753800949545537,3.616474109701893
SELAS,8,19,254,Guadalajara,-2.110592,40.94139,6.8,0.1227788675929605,3.61341450423908
FORADADA DEL TOSCAR,2,22,111,Huesca,0.367084,42.41578,9.3,0.320273753586322,3.612259503084249
ALBENDIEGO,8,19,8,Guadalajara,-3.057005,41.218808,6.8,0.1227788675929605,3.587724964799321
UJADOS,8,19,294,Guadalajara,-3.011168,41.226778,6.8,0.1227788675929605,3.586467754220369
"PERNÍA, LA",7,34,904,Palencia,-4.494853,43.00094,9.433514000000002,0.3308210864697293,3.5793904011398143
"PUEYO DE ARAGUÁS, EL",2,22,190,Huesca,0.203677,42.464227,9.3,0.320273753586322,3.5715138902610244
VALLE DE BARDAJÍ,2,22,243,Huesca,0.463227,42.429539,9.3,0.320273753586322,3.5704686714895866
"VALL DE BOÍ, LA",9,25,43,Lleida,0.857282,42.535122,10.47953,0.4134542107366219,3.570226278408805
MILLANA,8,19,184,Guadalajara,-2.575113,40.505098,6.8,0.1227788675929605,3.5690970263509088
UZTÁRROZ/UZTARROZE,15,31,247,Navarra,-0.958917,42.915014,10.807375000000002,0.4393532950960195,3.55857001561758
"LÍNEA DE LA CONCEPCIÓN, LA",1,11,22,Cádiz,-5.349386,36.163134,14.3,0.7152635255730452,3.551724340984004
CAPOLAT,9,8,45,Barcelona,1.751569,42.087279,12.4,0.5651674122180903,3.5493029932430016
"GUINGUETA D'ÀNEU, LA",9,25,903,Lleida,1.154152,42.602877,10.47953,0.4134542107366219,3.5446281771010213
GODOJOS,2,50,120,Zaragoza,-1.871053,41.262399,8.0,0.217576412869774,3.5315702106818265
"BURGO, EL",1,29,31,Málaga,-4.954517,36.803694,14.873976250000004,0.7606064751957043,3.530869193490018
CANALEJAS DEL ARROYO,8,16,45,Cuenca,-2.468815,40.386824,6.2,0.0753800949545537,3.526848220611168
ARGELITA,10,12,15,Castellón/Castelló,-0.340955,40.067074,13.7,0.6678647529346383,3.5174809867956145
"ALAMÚS, ELS",9,25,4,Lleida,0.759244,41.604863,10.47953,0.4134542107366219,3.516437842647892
COGOLLUDO,8,19,92,Guadalajara,-3.126575,40.939128,6.8,0.1227788675929605,3.507124104109883
ADOBES,8,19,3,Guadalajara,-1.673978,40.670829,6.8,0.1227788675929605,3.5061727084194008
"HUERCE, LA",8,19,146,Guadalajara,-3.170735,41.139948,6.8,0.1227788675929605,3.5025855692766523
"PERELLÓ, EL",9,43,104,Tarragona,0.683064,40.901698,13.112731000000004,0.6214717032536644,3.502208802362507
"AMPOLLA, L'",9,43,906,Tarragona,0.688171,40.797431,13.112731000000004,0.6214717032536644,3.500922979150108
HUMANES,8,19,151,Guadalajara,-3.153425,40.849561,6.8,0.1227788675929605,3.4994265629370926
VALLE DE LIERP,2,22,244,Huesca,0.491043,42.382294,9.3,0.320273753586322,3.49727828651711
SOMOLINOS,8,19,259,Guadalajara,-3.06588,41.259492,6.8,0.1227788675929605,3.4933956879979458
ISABA/IZABA,15,31,128,Navarra,-0.85471,42.904173,10.807375000000002,0.4393532950960195,3.4927271631659944
URZAINQUI/URZAINKI,15,31,245,Navarra,-0.931169,42.835434,10.807375000000002,0.4393532950960195,3.4909908182260097
MONTCLAR,9,8,130,Barcelona,1.775416,42.018588,12.4,0.5651674122180903,3.487551479104924
MOCHALES,8,19,188,Guadalajara,-2.030501,41.09553,6.8,0.1227788675929605,3.48546312156116
CAÑAVERUELAS,8,16,51,Cuenca,-2.647138,40.412936,6.2,0.0753800949545537,3.477670506680897
LLOSETA,4,7,29,"Balears, Illes",2.866896,39.717169,14.5,0.731063116452514,3.476316581076694
CENDEJAS DE LA TORRE,8,19,81,Guadalajara,-2.842558,40.978388,6.8,0.1227788675929605,3.468760599647132
"BORGE, EL",1,29,30,Málaga,-4.251232,36.821384,14.873976250000004,0.7606064751957043,3.457298636241628
LARRAUN,15,31,144,Navarra,-1.906117,43.000887,10.807375000000002,0.4393532950960195,3.440713125246447
ALGAR DE MESA,8,19,16,Guadalajara,-1.949859,41.136738,6.8,0.1227788675929605,3.4371633670646093
VIVER I SERRATEIX,9,8,308,Barcelona,1.79389,41.947764,12.4,0.5651674122180903,3.4342604362759017
FANLO,2,22,107,Huesca,0.012953,42.596017,9.3,0.320273753586322,3.43293887841183
BERANUY,2,22,246,Huesca,0.604405,42.381028,9.3,0.320273753586322,3.4270617556035297
"ORDIAL, EL",8,19,203,Guadalajara,-3.134973,41.113279,6.8,0.1227788675929605,3.426648343050803
LONGÁS,2,50,144,Zaragoza,-0.932371,42.476052,8.0,0.217576412869774,3.4259245404724017
